,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,54.75,74,94,30.87,overcast clouds
1,Singkang,MY,2.1006,102.7994,87.69,73,96,3.89,overcast clouds
2,Dongsheng,CN,39.8161,109.9776,46.67,33,11,10.6,few clouds
3,Hermanus,ZA,-34.4187,19.2345,61.81,74,93,13.8,light rain
4,Bethel,US,41.3712,-73.414,56.35,83,20,1.99,few clouds
5,Banamba,ML,13.55,-7.45,78.64,28,96,4.72,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,46.06,71,0,3.44,clear sky
7,Beringovskiy,RU,63.05,179.3167,3.2,92,68,12.57,broken clouds
8,New Norfolk,AU,-42.7826,147.0587,65.91,49,100,4.0,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,72.86,75,100,15.39,overcast clouds
10,Longyearbyen,SJ,78.2186,15.6401,33.64,75,75,19.57,broken clouds
11,Nador,MA,35.174,-2.9287,68.25,73,0,8.05,clear sky
12,Yellowknife,CA,62.456,-114.3525,33.42,99,90,13.8,overcast clouds
13,Busselton,AU,-33.65,115.3333,60.08,52,82,20.92,broken clouds
14,Albany,US,42.6001,-73.9662,53.8,80,43,11.63,scattered clouds
15,Acapulco,MX,16.8634,-99.8901,78.15,86,66,4.07,broken clouds
16,Alyangula,AU,-13.8483,136.4192,93.07,52,40,13.8,light rain
17,Fryanovo,RU,56.1333,38.45,37.72,87,7,6.15,clear sky
18,Jacareacanga,BR,-6.2222,-57.7528,73.47,92,91,0.85,overcast clouds
19,Idrinskoye,RU,54.3708,92.1358,31.77,51,100,18.16,overcast clouds
20,Punta Arenas,CL,-53.15,-70.9167,46.51,57,0,8.05,clear sky
21,Phayao,TH,19.25,100.25,77.85,57,68,1.23,broken clouds
22,Georgetown,MY,5.4112,100.3354,89.53,70,20,3.0,few clouds
23,Mataura,NZ,-46.1927,168.8643,53.47,78,99,8.52,overcast clouds
24,Cape Town,ZA,-33.9258,18.4232,60.1,87,75,1.99,light rain
25,Narsaq,GL,60.9167,-46.05,25.02,64,30,7.58,scattered clouds
26,Aras,ES,42.5617,-2.356,53.71,94,90,4.61,overcast clouds
27,Conceicao Da Barra,BR,-18.5933,-39.7322,72.99,90,95,7.29,overcast clouds
28,Isangel,VU,-19.55,169.2667,77.05,64,74,12.82,broken clouds
29,Vardo,NO,70.3705,31.1107,34.0,76,96,17.76,overcast clouds
30,Hithadhoo,MV,-0.6,73.0833,82.96,73,88,19.73,overcast clouds
31,Torbay,CA,47.6666,-52.7314,46.58,94,90,14.97,light intensity drizzle
32,Puerto Ayora,EC,-0.7393,-90.3518,68.67,93,34,6.42,scattered clouds
33,Hilo,US,19.7297,-155.09,76.73,83,90,3.44,overcast clouds
34,Saint-Philippe,RE,-21.3585,55.7679,78.48,78,60,8.95,broken clouds
35,Upernavik,GL,72.7868,-56.1549,27.28,95,100,7.0,light snow
36,Misratah,LY,32.3754,15.0925,73.2,50,67,10.8,broken clouds
37,Bredasdorp,ZA,-34.5322,20.0403,61.29,70,100,8.77,overcast clouds
38,Dzaoudzi,YT,-12.7887,45.2699,82.29,69,20,10.36,few clouds
39,Sakakah,SA,29.9697,40.2064,69.37,34,100,10.74,overcast clouds
40,Yenagoa,NG,4.9247,6.2642,74.71,94,100,1.59,light rain
41,Fengrun,CN,39.8333,118.1167,53.74,48,6,7.07,clear sky
42,Tiksi,RU,71.6872,128.8694,5.36,89,96,7.45,overcast clouds
43,Vaini,TO,-21.2,-175.2,80.76,83,20,9.22,few clouds
44,Maumere,ID,-8.6199,122.2111,86.72,66,57,3.49,light rain
45,Codrington,AU,-38.2667,141.9667,62.69,68,0,13.15,clear sky
46,Barrow,US,71.2906,-156.7887,19.42,86,40,13.8,scattered clouds
47,Bathsheba,BB,13.2167,-59.5167,74.01,88,75,17.27,broken clouds
48,Mareeba,AU,-17.0,145.4333,87.44,59,78,12.17,broken clouds
49,Port Elizabeth,ZA,-33.918,25.5701,64.09,88,20,20.71,few clouds
50,Akureyri,IS,65.6835,-18.0878,33.73,86,90,16.11,light rain
51,Clyde River,CA,70.4692,-68.5914,20.41,91,100,5.28,overcast clouds
52,East London,ZA,-33.0153,27.9116,69.08,72,95,13.33,overcast clouds
53,Pacific Grove,US,36.6177,-121.9166,59.11,82,90,1.01,overcast clouds
54,Katsuura,JP,35.1333,140.3,68.14,74,98,7.74,overcast clouds
55,Kribi,CM,2.95,9.9167,76.53,89,98,7.78,overcast clouds
56,Hobart,AU,-42.8794,147.3294,66.25,53,75,1.01,broken clouds
57,Chokurdakh,RU,70.6333,147.9167,-5.93,97,95,7.23,overcast clouds
58,Cabo San Lucas,MX,22.8909,-109.9124,79.9,80,11,4.0,few clouds
59,Saint-Joseph,RE,-21.3667,55.6167,77.47,75,35,7.0,scattered clouds
60,Kirakira,SB,-10.4544,161.9205,85.08,67,60,14.41,broken clouds
61,Avarua,CK,-21.2078,-159.775,75.25,69,75,12.66,broken clouds
62,Arraial Do Cabo,BR,-22.9661,-42.0278,69.62,94,100,21.81,heavy intensity rain
63,Itarema,BR,-2.9248,-39.9167,80.33,76,57,13.44,broken clouds
64,Pierre,US,44.3683,-100.351,36.05,72,1,4.0,clear sky
65,Abatskoye,RU,56.2875,70.4555,34.75,98,100,11.1,light rain
66,Nuuk,GL,64.1835,-51.7216,38.01,81,75,19.57,broken clouds
67,Curvelo,BR,-18.7564,-44.4308,65.46,98,100,4.92,overcast clouds
68,Kapaa,US,22.0752,-159.319,78.78,83,75,0.0,broken clouds
69,Husavik,IS,66.0449,-17.3389,33.71,99,100,18.68,light rain
70,Kaputa,ZM,-8.4689,29.6619,73.76,73,98,3.36,overcast clouds
71,Vice,PE,-5.4167,-80.7833,66.69,69,38,9.64,scattered clouds
72,Adrar,MR,20.5022,-10.0711,78.3,26,80,7.87,broken clouds
73,Khatanga,RU,71.9667,102.5,5.94,95,100,11.68,light snow
74,Halifax,CA,44.6453,-63.5724,56.21,96,99,4.61,overcast clouds
75,Atuona,PF,-9.8,-139.0333,78.84,73,0,18.92,clear sky
76,Vila Velha,BR,-20.3297,-40.2925,69.75,100,90,2.3,light rain
77,Mar Del Plata,AR,-38.0023,-57.5575,55.09,91,90,1.99,overcast clouds
78,Thompson,CA,55.7435,-97.8558,26.76,80,75,10.36,broken clouds
79,Touros,BR,-5.1989,-35.4608,81.5,78,70,14.2,broken clouds
80,Bekovo,RU,52.4663,43.712,39.52,81,6,6.8,clear sky
81,Richards Bay,ZA,-28.783,32.0377,68.74,77,37,8.86,scattered clouds
82,Victoria,HK,22.2855,114.1577,82.45,66,32,1.99,scattered clouds
83,Salalah,OM,17.0151,54.0924,77.09,57,0,1.14,clear sky
84,Tasiilaq,GL,65.6145,-37.6368,24.96,59,3,5.97,clear sky
85,Necochea,AR,-38.5473,-58.7368,50.04,82,100,9.24,overcast clouds
86,Champerico,GT,14.3,-91.9167,81.36,84,100,4.72,overcast clouds
87,Denpasar,ID,-8.65,115.2167,85.71,79,40,5.75,scattered clouds
88,Krutinka,RU,56.0055,71.5113,32.88,98,100,12.97,snow
89,Mokhsogollokh,RU,61.4681,128.9203,23.18,79,100,4.07,overcast clouds
90,Lebu,CL,-37.6167,-73.65,50.34,93,80,6.51,broken clouds
91,Sesheke,ZM,-17.4759,24.2968,80.11,42,62,6.38,broken clouds
92,Puerto Escondido,MX,15.85,-97.0667,77.34,85,72,5.68,broken clouds
93,Prince Rupert,CA,54.3161,-130.3201,51.49,59,7,18.41,clear sky
94,Kawhia,NZ,-38.0651,174.8183,65.37,61,6,9.66,clear sky
95,Mendi,PG,-6.1761,143.6513,64.54,92,95,3.18,overcast clouds
96,Bairiki,KI,1.3292,172.9752,86.0,66,40,9.22,scattered clouds
97,Tual,ID,-5.6667,132.75,84.34,70,92,7.56,light rain
98,Talas,TR,38.6908,35.5538,41.67,87,40,1.14,scattered clouds
99,Amboasary,MG,-25.0333,46.3833,75.04,67,74,2.48,broken clouds
100,Ushirombo,TZ,-3.4919,31.9639,72.12,66,100,1.41,overcast clouds
101,Lethbridge,CA,49.7,-112.8186,18.64,86,1,5.75,clear sky
102,Saldanha,ZA,-33.0117,17.9442,62.65,74,77,15.84,light rain
103,Eydhafushi,MV,5.1033,73.0708,82.71,75,99,18.37,light rain
104,Perth,AU,-31.9333,115.8333,66.2,49,40,21.85,scattered clouds
105,Guerrero Negro,MX,27.9769,-114.0611,62.96,87,0,9.66,clear sky
106,Deniliquin,AU,-35.5333,144.9667,79.0,15,100,4.9,overcast clouds
107,Lakes Entrance,AU,-37.8811,147.981,75.58,62,77,10.8,broken clouds
108,Magistralnyy,RU,56.1725,107.4458,38.16,59,100,6.44,overcast clouds
109,Lososina,RU,48.9975,140.3106,37.9,53,23,6.26,few clouds
110,Hami,CN,42.8,93.45,54.48,38,96,5.03,overcast clouds
111,Senneterre,CA,48.3835,-77.2328,41.22,90,82,8.05,light rain
112,Palmer,US,42.1584,-72.3287,55.0,72,20,1.01,few clouds
113,Aswan,EG,24.0934,32.907,80.4,32,91,7.31,overcast clouds
114,Black Forest,US,39.0131,-104.7008,42.26,94,90,5.01,overcast clouds
115,Mehamn,NO,71.0357,27.8492,35.78,86,20,14.97,few clouds
116,Novyy Yarychiv,UA,49.9044,24.3052,38.53,90,0,9.06,clear sky
117,Kaitangata,NZ,-46.2817,169.8464,57.92,59,94,11.95,overcast clouds
118,Kavieng,PG,-2.5744,150.7967,85.41,68,65,13.65,broken clouds
119,Quatre Cocos,MU,-20.2078,57.7625,78.1,70,16,10.22,few clouds
120,Betong,TH,5.7743,101.0723,85.53,70,95,0.98,overcast clouds
121,Brae,GB,60.3964,-1.353,49.91,87,59,19.48,broken clouds
122,Kahului,US,20.8947,-156.47,78.82,79,20,3.44,few clouds
123,Maneadero,MX,31.7167,-116.5667,60.1,87,62,3.0,broken clouds
124,Mandiana,GN,10.6333,-8.6833,73.9,83,99,3.89,overcast clouds
125,San Jose,US,37.3394,-121.895,60.33,71,94,1.01,overcast clouds
126,Dikson,RU,73.5069,80.5464,5.67,93,89,10.58,overcast clouds
127,Port Alfred,ZA,-33.5906,26.891,68.92,75,94,11.21,overcast clouds
128,San Patricio,US,28.017,-97.5169,75.04,63,0,7.65,clear sky
129,Leningradskiy,RU,69.3833,178.4167,-1.03,87,99,11.72,overcast clouds
130,Arlit,NE,18.7369,7.3853,77.77,23,36,6.26,scattered clouds
131,Tobermory,CA,45.2501,-81.6665,41.31,58,78,30.4,broken clouds
132,Kodiak,US,57.79,-152.4072,42.08,89,100,1.05,overcast clouds
133,Chumikan,RU,54.7183,135.315,34.21,41,63,20.09,broken clouds
134,Cidreira,BR,-30.1811,-50.2056,67.23,90,7,19.86,clear sky
135,Zalantun,CN,48.0,122.7167,44.46,25,6,5.46,clear sky
136,Lata,PT,40.1629,-8.3327,59.92,96,100,4.99,overcast clouds
137,Vilaka,LV,57.1846,27.6722,40.71,89,53,5.84,broken clouds
138,Ngaoundere,CM,7.3167,13.5833,64.98,72,43,2.24,scattered clouds
139,Jamestown,US,42.097,-79.2353,51.39,91,90,5.01,overcast clouds
140,Saint George,US,37.1041,-113.5841,67.35,48,1,1.01,clear sky
141,Kudahuvadhoo,MV,2.6708,72.8944,83.35,74,25,20.47,scattered clouds
142,Tripoli,LY,32.8752,13.1875,71.96,47,15,14.14,few clouds
143,Taoudenni,ML,22.6783,-3.9836,75.11,24,0,11.23,clear sky
144,Kargil,IN,34.5667,76.1,31.86,51,100,1.66,overcast clouds
145,Altamont,US,42.2068,-121.7372,44.78,79,1,1.01,clear sky
146,Giyani,ZA,-23.3025,30.7187,68.68,74,0,2.39,clear sky
147,Aykhal,RU,66.0,111.5,4.69,94,97,17.45,overcast clouds
148,Qaanaaq,GL,77.484,-69.3632,19.27,91,100,7.7,overcast clouds
149,Lagoa,PT,39.05,-27.9833,68.36,91,100,9.71,overcast clouds
150,Road Town,VG,18.4167,-64.6167,80.01,68,6,11.7,clear sky
151,Tena,EC,-0.9833,-77.8167,68.52,97,100,3.42,overcast clouds
152,Surt,LY,31.2089,16.5887,71.29,43,54,15.3,broken clouds
153,Esperance,AU,-33.8667,121.9,73.24,58,100,20.8,overcast clouds
154,Aksarka,RU,66.5606,67.7975,0.73,92,85,3.29,overcast clouds
155,Taltal,CL,-25.4,-70.4833,59.92,82,31,0.13,scattered clouds
156,Kholodnyy,RU,62.7167,147.95,-10.39,95,46,0.87,scattered clouds
157,Hofn,IS,64.2539,-15.2082,39.51,60,100,28.39,overcast clouds
158,Gushikawa,JP,26.3544,127.8686,80.19,65,20,14.97,few clouds
159,Provideniya,RU,64.3833,-173.3,17.71,62,40,11.18,scattered clouds
160,Karasburg,NA,-28.0167,18.75,51.28,74,47,17.25,scattered clouds
161,Manado,ID,1.487,124.8455,90.37,62,40,4.61,scattered clouds
162,Faya,SA,18.3851,42.4509,54.12,38,6,7.7,clear sky
163,Airai,TL,-8.9266,125.4092,77.34,47,78,2.55,broken clouds
164,Olafsvik,IS,64.8945,-23.7142,34.5,68,29,16.6,scattered clouds
165,Waitati,NZ,-45.75,170.5667,62.8,61,55,3.15,broken clouds
166,Envira,BR,-7.3,-70.2167,72.7,95,94,2.04,overcast clouds
167,Puerto Maldonado,PE,-12.6,-69.1833,75.85,78,69,1.9,broken clouds
168,Seoul,KR,37.5683,126.9778,63.79,53,40,10.36,scattered clouds
169,La Asuncion,VE,11.0333,-63.8628,87.53,70,87,8.05,overcast clouds
170,Pevek,RU,69.7008,170.3133,3.22,95,100,5.88,light snow
171,Aginskoye,RU,51.1,114.53,37.31,53,100,7.23,overcast clouds
172,Makakilo City,US,21.3469,-158.0858,79.12,71,20,8.05,few clouds
173,Maunabo,PR,18.0072,-65.8993,80.42,94,29,7.29,scattered clouds
174,Ola,RU,59.5833,151.2833,15.28,47,1,1.81,clear sky
175,Severo-Kurilsk,RU,50.6789,156.125,36.12,54,65,22.24,broken clouds
176,Baoning,CN,25.3378,110.026,64.26,94,90,6.71,overcast clouds
177,Fortuna,US,40.5982,-124.1573,61.48,69,75,4.0,broken clouds
178,Shiyan,CN,32.6475,110.7781,67.41,65,100,7.05,overcast clouds
179,Taywarah,AF,33.35,64.4167,38.61,38,4,6.2,clear sky
180,Pangai,TO,-19.8,-174.35,78.91,65,20,11.5,few clouds
181,Awjilah,LY,29.1081,21.2869,64.56,87,88,4.99,overcast clouds
182,Souillac,MU,-20.5167,57.5167,79.36,78,40,6.91,scattered clouds
183,San Carlos De Bariloche,AR,-41.1456,-71.3082,44.35,57,40,8.05,scattered clouds
184,Kashary,RU,49.04,41.0056,40.75,90,3,7.96,clear sky
185,Jiujiang,CN,29.7333,115.9833,66.96,58,100,3.47,overcast clouds
186,Margate,GB,51.3813,1.3862,51.04,74,77,4.0,broken clouds
187,Bada,RU,51.392,109.8717,44.82,37,99,3.47,overcast clouds
188,Ulladulla,AU,-35.35,150.4667,80.76,54,81,15.37,broken clouds
189,Port Lincoln,AU,-34.7333,135.8667,67.77,52,29,7.65,scattered clouds
190,Cherskiy,RU,68.75,161.3,-3.53,99,100,5.57,overcast clouds
191,Pokhara,NP,28.2333,83.9833,64.4,76,90,0.45,overcast clouds
192,Ketchikan,US,55.3422,-131.6461,34.27,86,1,0.0,clear sky
193,Nanakuli,US,21.3906,-158.1547,80.55,73,20,8.05,light rain
194,Aksu,CN,41.1231,80.2644,52.97,23,2,3.18,clear sky
195,Kijang,KR,35.2442,129.2139,71.33,28,58,0.45,broken clouds
196,San Luis,AR,-33.295,-66.3356,52.77,91,100,6.96,overcast clouds
197,Rafaela,AR,-31.2503,-61.4867,62.06,68,100,9.86,overcast clouds
198,Ancud,CL,-41.8697,-73.8203,53.13,94,12,10.33,few clouds
199,Half Moon Bay,US,37.4636,-122.4286,59.99,82,1,4.61,clear sky
200,Rozkishne,UA,48.5074,39.3004,40.66,94,0,7.0,clear sky
201,Butaritari,KI,3.0707,172.7902,82.58,73,11,12.12,light rain
202,Ostrovnoy,RU,68.0531,39.5131,31.06,82,86,17.58,overcast clouds
203,Bengkulu,ID,-3.8004,102.2655,83.7,70,99,7.83,overcast clouds
204,Cayenne,GF,4.9333,-52.3333,82.09,83,75,3.0,broken clouds
205,Nelson Bay,AU,-32.7167,152.15,75.76,64,100,1.01,overcast clouds
206,Te Anau,NZ,-45.4167,167.7167,50.02,87,99,5.84,overcast clouds
207,Cotonou,BJ,6.3654,2.4183,76.98,88,20,10.36,light rain
208,Ilulissat,GL,69.2167,-51.1,33.82,80,75,12.66,light rain
209,Markala,ML,13.7021,-6.0659,80.17,38,75,5.06,broken clouds
210,Naze,JP,28.3667,129.4833,70.72,77,25,14.45,scattered clouds
211,Deputatskiy,RU,69.3,139.9,4.57,89,100,1.68,overcast clouds
212,Male,MV,4.1748,73.5089,82.35,74,75,29.93,broken clouds
213,Shitanjing,CN,39.2342,106.3439,45.93,39,100,5.48,overcast clouds
214,Qasigiannguit,GL,68.8193,-51.1922,34.05,90,100,7.36,overcast clouds
215,Kot Khai,IN,31.1167,77.5333,60.37,36,0,2.95,clear sky
216,Mchinji,MW,-13.7984,32.8802,77.18,44,29,8.77,scattered clouds
217,Sangar,RU,63.9242,127.4739,7.83,93,96,5.41,overcast clouds
218,Hamilton,US,39.1834,-84.5333,51.55,82,90,1.01,overcast clouds
219,Faanui,PF,-16.4833,-151.75,79.23,73,74,16.08,broken clouds
220,Kota Bahru,MY,6.1333,102.2386,87.8,74,40,7.0,scattered clouds
221,Loreto,MX,22.2667,-101.9667,63.75,50,96,3.27,overcast clouds
222,Alofi,NU,-19.0595,-169.9187,78.69,65,75,14.97,broken clouds
