,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
381,Sao Joao Da Barra,-21.6403,-41.0511,73.49,91,100,13.82,BR,2021-10-31 21:33:06
382,Cairns,-16.9167,145.7667,82.06,90,75,8.05,AU,2021-10-31 21:32:13
383,Belo Jardim,-8.3356,-36.4242,71.85,75,51,13.91,BR,2021-10-31 21:30:05
384,Jalu,29.0331,21.5482,66.81,74,60,8.21,LY,2021-10-31 21:33:06
385,Fereydun Kenar,36.6864,52.5225,55.71,76,27,5.48,IR,2021-10-31 21:33:07
386,Suna,57.8338,50.0588,40.28,95,82,9.19,RU,2021-10-31 21:33:07
387,Beisfjord,68.3751,17.5988,46.45,88,100,10.22,NO,2021-10-31 21:33:07
388,Bouna,9.2667,-3.0,80.64,49,97,2.75,CI,2021-10-31 21:33:08
389,Banda Aceh,5.5577,95.3222,77.86,83,99,2.89,ID,2021-10-31 21:33:08
390,San Patricio,28.017,-97.5169,88.21,38,0,12.91,US,2021-10-31 21:28:31
391,Ust-Tarka,55.5672,75.705,21.16,94,100,5.57,RU,2021-10-31 21:33:08
392,Lasa,46.6166,10.7002,50.74,97,100,4.03,IT,2021-10-31 21:33:09
393,Puerto Escondido,15.85,-97.0667,83.12,74,52,4.56,MX,2021-10-31 21:33:09
394,Williams Lake,52.1415,-122.1445,42.37,54,1,1.99,CA,2021-10-31 21:33:09
395,Bundaberg,-24.85,152.35,74.21,64,40,1.99,AU,2021-10-31 21:32:15
396,Livingstonia,-10.606,34.1063,69.82,64,6,2.91,MW,2021-10-31 21:33:10
397,Guerrero Negro,27.9769,-114.0611,71.42,60,100,13.18,MX,2021-10-31 21:33:10
398,Faya,18.3851,42.4509,59.11,52,3,5.08,SA,2021-10-31 21:33:10
399,Swan River,52.1058,-101.2676,35.49,64,100,10.36,CA,2021-10-31 21:33:11
400,Atbasar,51.8,68.3333,42.19,91,100,13.4,KZ,2021-10-31 21:33:11
401,Dobroye,52.8678,39.8109,38.7,78,14,6.58,RU,2021-10-31 21:33:11
402,Sambava,-14.2667,50.1667,73.06,91,22,5.53,MG,2021-10-31 21:33:12
403,Nerchinskiy Zavod,51.3088,119.61,21.27,57,66,5.32,RU,2021-10-31 21:33:12
404,Dunedin,-45.8742,170.5036,56.8,44,55,8.01,NZ,2021-10-31 21:30:29
405,Strezhevoy,60.7333,77.5889,1.38,95,82,7.54,RU,2021-10-31 21:33:12
406,Morro Bay,35.3658,-120.8499,72.19,72,98,5.01,US,2021-10-31 21:33:13
407,Kongolo,-5.3833,27.0,70.48,95,100,2.46,CD,2021-10-31 21:33:13
408,Gebre Guracha,9.8,38.4,51.66,70,50,5.79,ET,2021-10-31 21:33:13
409,Cuamba,-14.8031,36.5372,79.43,42,63,2.24,MZ,2021-10-31 21:33:14
410,Portland,45.5234,-122.6762,64.98,40,20,3.0,US,2021-10-31 21:30:39
411,Zabid,14.1951,43.3152,81.95,69,67,3.62,YE,2021-10-31 21:33:14
412,Mehamn,71.0357,27.8492,33.98,86,20,4.61,NO,2021-10-31 21:33:14
413,Bandarbeyla,9.4942,50.8122,78.46,78,30,12.66,SO,2021-10-31 21:33:15
414,Banihal,33.4167,75.2,45.73,58,76,3.0,IN,2021-10-31 21:34:15
415,Nieuw Nickerie,5.95,-56.9833,80.1,78,73,10.09,SR,2021-10-31 21:34:15
416,Dolgoderevenskoye,55.3444,61.3444,44.94,76,75,13.42,RU,2021-10-31 21:34:16
417,Nishihara,26.1842,127.7558,71.65,83,40,0.0,JP,2021-10-31 21:34:16
418,Wangkui,46.8333,126.5,25.83,39,6,6.26,CN,2021-10-31 21:34:16
419,Oswego,43.4501,-76.1497,55.02,86,100,7.0,US,2021-10-31 21:34:17
420,Tretten,61.3142,10.3007,41.65,96,100,7.29,NO,2021-10-31 21:34:17
421,Paso De Los Toros,-32.8167,-56.5167,73.2,77,8,10.67,UY,2021-10-31 21:34:17
422,Key Largo,25.0865,-80.4473,87.03,55,12,13.04,US,2021-10-31 21:30:37
423,Olga,43.7444,135.2892,41.59,88,98,4.14,RU,2021-10-31 21:34:18
424,Tessalit,20.1986,1.0114,84.02,14,15,5.3,ML,2021-10-31 21:34:18
425,Atherton,53.5237,-2.4935,49.78,92,100,3.0,GB,2021-10-31 21:34:18
426,Poum,-20.2333,164.0167,75.56,66,30,15.84,NC,2021-10-31 21:34:19
427,Tyukhtet,56.5389,89.3011,28.08,95,100,15.39,RU,2021-10-31 21:34:19
428,Marzuq,14.4,46.4667,68.79,57,5,0.96,YE,2021-10-31 21:34:19
429,Santiago Del Estero,-27.7951,-64.2615,80.11,58,96,17.78,AR,2021-10-31 21:34:19
430,Havelock,34.8791,-76.9013,71.58,66,20,3.0,US,2021-10-31 21:34:09
431,Presidente Epitacio,-21.7633,-52.1156,71.04,83,69,8.97,BR,2021-10-31 21:34:20
432,Birjand,32.8663,59.2211,45.07,36,0,4.61,IR,2021-10-31 21:34:20
433,Anloga,5.7947,0.8973,82.62,82,100,14.7,GH,2021-10-31 21:34:21
434,Ostrovnoy,68.0531,39.5131,36.12,80,98,10.42,RU,2021-10-31 21:34:21
435,Omboue,-1.5746,9.2618,75.97,91,100,6.55,GA,2021-10-31 21:34:21
436,Skibbereen,51.55,-9.2667,46.2,68,98,19.44,IE,2021-10-31 21:34:21
437,Sarangani,5.4033,125.4636,83.25,74,91,13.51,PH,2021-10-31 21:34:22
438,Severo-Kurilsk,50.6789,156.125,34.11,64,99,27.25,RU,2021-10-31 21:34:22
439,Fairbanks,64.8378,-147.7164,48.16,47,1,10.36,US,2021-10-31 21:34:22
440,Teyateyaneng,-29.1472,27.7489,59.7,37,81,1.83,LS,2021-10-31 21:34:23
441,Kollam,8.8833,76.6,76.87,86,100,3.24,IN,2021-10-31 21:34:23
442,Sakakah,29.9697,40.2064,80.17,27,88,6.33,SA,2021-10-31 21:34:23
443,Dingle,10.9995,122.6711,75.04,91,95,7.58,PH,2021-10-31 21:34:24
444,Saint Anthony,45.0205,-93.218,47.3,52,75,4.0,US,2021-10-31 21:34:24
445,Linhares,-19.3911,-40.0722,71.64,91,99,5.1,BR,2021-10-31 21:34:24
446,Rockingham,42.9668,-71.0995,61.36,79,28,5.73,US,2021-10-31 21:34:24
447,Wufeng,27.45,104.8333,44.19,97,100,2.19,CN,2021-10-31 21:34:25
448,Ullapool,57.8987,-5.1604,49.35,94,100,11.34,GB,2021-10-31 21:34:25
449,Whitehorse,60.7161,-135.0538,37.02,59,75,18.01,CA,2021-10-31 21:34:25
450,Usinsk,65.9939,57.5281,4.82,86,23,10.78,RU,2021-10-31 21:34:26
451,La Ronge,55.1001,-105.2842,34.05,60,75,10.36,CA,2021-10-31 21:34:26
452,Geraldton,-28.7667,114.6,62.13,77,75,6.91,AU,2021-10-31 21:31:13
453,Ayr,55.4627,-4.6339,48.18,81,75,11.5,GB,2021-10-31 21:34:26
454,Aswan,24.0934,32.907,83.5,24,0,6.91,EG,2021-10-31 21:34:27
455,Jonkoping,57.7814,14.1562,51.39,100,90,10.36,SE,2021-10-31 21:34:27
456,Great Falls,47.5002,-111.3008,37.17,46,1,8.05,US,2021-10-31 21:34:27
457,Leh,34.1667,77.5833,24.82,55,99,1.88,IN,2021-10-31 21:34:28
458,Noumea,-22.2763,166.4572,75.18,99,29,7.67,NC,2021-10-31 21:30:06
459,Muriwai Beach,-36.8167,174.45,63.19,71,88,10.51,NZ,2021-10-31 21:35:28
460,Tiznit,29.5833,-9.5,65.86,41,0,1.32,MA,2021-10-31 21:35:28
461,Shimoda,34.6667,138.95,58.1,81,77,10.8,JP,2021-10-31 21:35:29
462,Roald,62.5833,6.1333,49.33,76,0,11.5,NO,2021-10-31 21:35:29
463,Mitsamiouli,-11.3847,43.2844,78.53,79,10,10.67,KM,2021-10-31 21:35:29
464,Casa Nova,-9.4167,-41.1333,87.78,36,25,5.7,BR,2021-10-31 21:35:30
465,Atasu,48.6814,71.6433,39.6,83,100,11.18,KZ,2021-10-31 21:35:30
466,Praia Da Vitoria,38.7333,-27.0667,70.05,88,20,2.08,PT,2021-10-31 21:35:30
467,Balagansk,54.0103,103.0544,32.36,82,80,7.7,RU,2021-10-31 21:35:31
468,Storforshei,66.4043,14.5233,42.66,86,75,1.14,NO,2021-10-31 21:35:31
469,Byron Bay,-28.65,153.6167,68.05,54,100,7.65,AU,2021-10-31 21:34:32
470,Tiarei,-17.5333,-149.3333,82.42,73,63,14.23,PF,2021-10-31 21:35:31
471,Camargo,27.6667,-105.1667,81.68,18,12,2.01,MX,2021-10-31 21:35:32
472,Sola,-13.8833,167.55,80.64,74,20,14.38,VU,2021-10-31 21:35:32
473,Lugovaya,56.05,37.4833,40.82,87,14,13.42,RU,2021-10-31 21:35:32
474,Awjilah,29.1081,21.2869,66.79,76,88,8.3,LY,2021-10-31 21:35:32
475,Kalmunai,7.4167,81.8167,78.24,88,67,6.29,LK,2021-10-31 21:35:33
476,Grindavik,63.8424,-22.4338,35.55,80,20,23.02,IS,2021-10-31 21:35:33
477,Jacmel,18.2342,-72.5347,78.64,82,28,3.56,HT,2021-10-31 21:35:33
478,Arman,59.7,150.1667,9.39,56,0,9.51,RU,2021-10-31 21:35:34
479,Coihaique,-45.5752,-72.0662,70.41,26,0,8.05,CL,2021-10-31 21:35:34
480,Cayenne,4.9333,-52.3333,83.08,78,40,3.0,GF,2021-10-31 21:35:34
481,Mutsu,41.2894,141.2169,44.92,84,81,2.91,JP,2021-10-31 21:35:34
482,Teguise,29.0605,-13.564,66.42,78,0,9.22,ES,2021-10-31 21:35:35
483,San Francisco,37.7749,-122.4194,69.64,75,75,1.99,US,2021-10-31 21:30:58
484,Matveyevka,52.15,56.1833,38.35,96,72,6.2,RU,2021-10-31 21:35:35
485,Tilichiki,60.4667,166.1,-6.12,96,56,11.21,RU,2021-10-31 21:35:35
486,Tuatapere,-46.1333,167.6833,56.73,61,83,9.57,NZ,2021-10-31 21:35:36
487,Narsaq,60.9167,-46.05,26.82,68,69,7.11,GL,2021-10-31 21:35:36
488,Muravlenko,63.7898,74.523,0.84,96,14,10.27,RU,2021-10-31 21:35:36
489,Conceicao Do Araguaia,-8.2578,-49.2647,76.39,80,86,1.1,BR,2021-10-31 21:35:37
490,Bartica,6.4,-58.6167,82.72,91,100,4.43,GY,2021-10-31 21:35:37
491,Prince Rupert,54.3161,-130.3201,53.29,48,82,12.66,CA,2021-10-31 21:35:37
492,Abay,49.6311,72.8539,34.18,82,100,12.82,KZ,2021-10-31 21:33:00
493,Petropavlovsk-Kamchatskiy,53.0452,158.6483,23.59,63,40,6.71,RU,2021-10-31 21:35:37
494,Leshukonskoye,64.8989,45.7622,30.6,86,100,6.4,RU,2021-10-31 21:35:38
495,San Pedro,14.35,121.0167,77.11,89,75,3.44,PH,2021-10-31 21:35:38
496,Heihe,50.2441,127.4902,14.58,41,47,4.99,CN,2021-10-31 21:35:38
497,Kingaroy,-26.5333,151.8333,62.64,77,91,8.05,AU,2021-10-31 21:31:20
498,Saint-Joseph,-21.3667,55.6167,68.38,84,17,9.91,RE,2021-10-31 21:35:39
499,Zhangjiakou,40.81,114.8794,37.56,59,0,3.06,CN,2021-10-31 21:35:39
500,Pacific Grove,36.6177,-121.9166,68.29,72,1,5.99,US,2021-10-31 21:31:42
501,Nkoteng,4.5167,12.0333,69.19,98,93,4.92,CM,2021-10-31 21:36:40
502,Panalingaan,8.7842,117.4231,78.04,82,97,4.99,PH,2021-10-31 21:36:40
503,Kieta,-6.2167,155.6333,82.9,72,92,2.44,PG,2021-10-31 21:36:40
504,Tura,25.5198,90.2201,60.39,72,0,3.11,IN,2021-10-31 21:36:41
505,Sept-Iles,50.2001,-66.3821,47.05,97,90,14.0,CA,2021-10-31 21:32:02
506,Moose Factory,51.2585,-80.6094,41.0,93,90,5.75,CA,2021-10-31 21:36:41
507,Tenosique,17.4833,-91.4333,79.99,72,25,4.76,MX,2021-10-31 21:36:41
508,Novomyshastovskaya,45.1991,38.5827,47.17,83,69,7.27,RU,2021-10-31 21:36:42
509,Changji,44.0167,87.3167,47.19,61,95,4.47,CN,2021-10-31 21:36:42
510,Bardiyah,31.7561,25.0865,68.67,73,19,30.31,LY,2021-10-31 21:36:42
511,Paamiut,61.994,-49.6678,31.91,80,95,7.76,GL,2021-10-31 21:36:43
512,North Bend,43.4065,-124.2243,59.14,94,90,6.91,US,2021-10-31 21:36:43
513,Kirakira,-10.4544,161.9205,83.71,69,59,10.47,SB,2021-10-31 21:36:43
514,Nalut,30.3333,10.85,70.05,28,0,7.67,LY,2021-10-31 21:36:44
515,Broome,42.2506,-75.833,56.84,80,90,3.0,US,2021-10-31 21:36:44
516,Jambi,-1.6,103.6167,72.77,99,100,2.64,ID,2021-10-31 21:36:44
517,Juneau,58.3019,-134.4197,44.83,88,90,0.0,US,2021-10-31 21:34:36
518,Jonava,55.0833,24.2833,47.12,84,0,1.01,LT,2021-10-31 21:36:44
519,Tual,-5.6667,132.75,84.09,72,99,10.27,ID,2021-10-31 21:36:45
520,Yeppoon,-23.1333,150.7333,71.38,68,100,20.38,AU,2021-10-31 21:36:45
521,Ahipara,-35.1667,173.1667,60.67,67,68,12.17,NZ,2021-10-31 21:36:45
522,Sayyan,15.1718,44.3244,53.29,59,33,6.53,YE,2021-10-31 21:36:46
523,Cortes,41.9395,-1.4396,68.05,70,100,6.44,ES,2021-10-31 21:36:46
524,Pemba,-12.974,40.5178,77.7,94,40,14.97,MZ,2021-10-31 21:36:46
525,Shanghai,31.2222,121.4581,62.92,86,0,4.47,CN,2021-10-31 21:33:40
526,Rincon,32.296,-81.2354,71.85,62,20,11.5,US,2021-10-31 21:36:47
527,Abha,18.2164,42.5053,58.82,47,0,6.91,SA,2021-10-31 21:36:47
528,Marsa Matruh,31.3525,27.2453,70.0,52,40,11.5,EG,2021-10-31 21:36:47
529,Puerto Baquerizo Moreno,-0.9,-89.6,72.59,73,40,14.97,EC,2021-10-31 21:36:48
530,Lakeside,30.13,-81.7682,67.98,63,90,9.22,US,2021-10-31 21:35:32
531,Akdepe,42.0551,59.3788,37.49,47,0,6.73,TM,2021-10-31 21:36:48
532,Carolina,18.3808,-65.9574,84.09,74,40,11.5,PR,2021-10-31 21:36:48
533,Buarcos,40.166,-8.8768,66.67,100,100,11.97,PT,2021-10-31 21:36:49
534,Hastings,50.8552,0.5729,53.98,77,21,29.59,GB,2021-10-31 21:36:49
535,Boguchany,58.3814,97.4531,32.58,96,100,7.16,RU,2021-10-31 21:36:50
536,Te Anau,-45.4167,167.7167,53.67,65,74,6.58,NZ,2021-10-31 21:36:50
537,Dhrol,22.5667,70.4167,67.39,31,0,2.86,IN,2021-10-31 21:36:50
538,Druskininkai,54.0167,23.9667,45.21,76,0,6.51,LT,2021-10-31 21:36:50
539,Andros,37.8333,24.9333,61.74,71,75,8.01,GR,2021-10-31 21:36:51
540,Rio Gallegos,-51.6226,-69.2181,59.05,29,0,31.07,AR,2021-10-31 21:36:51
541,Devils Lake,48.1128,-98.8651,37.94,59,90,10.0,US,2021-10-31 21:36:52
542,Monze,-16.2833,27.4833,74.14,43,3,2.62,ZM,2021-10-31 21:36:52
543,Joinville,-26.3044,-48.8456,71.55,96,75,4.61,BR,2021-10-31 21:36:32
544,Anadyr,64.75,177.4833,-7.01,76,20,11.01,RU,2021-10-31 21:36:52
545,Korla,41.7597,86.1469,47.08,27,9,5.84,CN,2021-10-31 21:34:36
546,Iranshahr,27.2025,60.6848,73.74,23,0,0.0,IR,2021-10-31 21:36:53
547,The Valley,18.217,-63.0578,84.06,69,20,13.8,AI,2021-10-31 21:37:53
548,La Ciotat,43.1748,5.6045,64.29,82,97,19.44,FR,2021-10-31 21:37:53
549,Belgrade,44.804,20.4651,47.86,66,0,1.01,RS,2021-10-31 21:37:54
550,Kumluca,36.3703,30.2869,65.23,79,100,4.27,TR,2021-10-31 21:37:54
551,Chimore,-16.9833,-65.1333,83.98,58,96,5.39,BO,2021-10-31 21:37:54
552,Gweta,-20.1833,25.2333,87.93,20,41,5.48,BW,2021-10-31 21:37:55
553,Omsukchan,62.5333,155.8,-15.27,97,97,4.81,RU,2021-10-31 21:33:41
554,Burnie,-41.0667,145.9167,59.92,59,92,9.46,AU,2021-10-31 21:37:55
555,Erenhot,43.6475,111.9767,32.72,52,0,5.75,CN,2021-10-31 21:37:56
556,Biak,-0.9131,122.8766,76.44,82,87,1.32,ID,2021-10-31 21:37:56
557,Kudahuvadhoo,2.6708,72.8944,82.17,78,39,19.64,MV,2021-10-31 21:37:56
558,Muros,42.7762,-9.0603,58.23,94,100,13.06,ES,2021-10-31 21:37:57
559,Petropavlovka,50.6114,105.3196,31.84,73,100,2.1,RU,2021-10-31 21:37:57
560,Clarence Town,-32.5833,151.7833,67.95,51,95,4.81,AU,2021-10-31 21:37:57
561,Teacapan,22.55,-105.75,83.55,67,0,9.28,MX,2021-10-31 21:37:58
562,Maceio,-9.6658,-35.7353,80.04,83,20,8.05,BR,2021-10-31 21:35:02
563,Dandong,40.1292,124.3947,40.44,75,48,7.76,CN,2021-10-31 21:37:58
564,Tarakan,3.3,117.6333,76.5,94,40,3.44,ID,2021-10-31 21:37:59
565,Djibo,14.1022,-1.6306,89.22,13,78,8.37,BF,2021-10-31 21:37:59
566,Paso De Carrasco,-34.8603,-56.0522,63.95,94,90,13.8,UY,2021-10-31 21:38:00
567,Lewiston,44.1003,-70.2148,59.81,80,15,1.01,US,2021-10-31 21:34:03
568,Vanavara,60.34,102.2797,22.95,70,100,4.65,RU,2021-10-31 21:38:00
569,Pascagoula,30.3658,-88.5561,74.03,60,1,3.44,US,2021-10-31 21:34:35
570,Kigoma,-4.8769,29.6267,75.7,75,93,4.32,TZ,2021-10-31 21:38:00
571,Margate,51.3813,1.3862,53.31,74,0,5.99,GB,2021-10-31 21:35:59
